e,Stall_Speed,Max_Speed,ROC_Stall,Result
0.5,48.2271280745674,100,69.4742651485229,FAIL
0.51,48.2271280745674,100,69.5998257477832,FAIL
0.52,48.2271280745674,100,69.7205876733048,FAIL
0.53,48.2271280745674,100,69.8368218054021,FAIL
0.54,48.2271280745674,100,69.9487789818093,FAIL
0.55,48.2271280745674,100,70.056691818951,FAIL
0.56,48.2271280745674,100,70.160776338103,FAIL
0.57,48.2271280745674,100,70.2612334204039,FAIL
0.58,48.2271280745674,100,70.3582501113733,FAIL
0.59,48.2271280745674,100,70.4520007927915,FAIL
0.6,48.2271280745674,100,70.5426482374125,FAIL
0.61,48.2271280745674,100,70.6303445599579,FAIL
0.62,48.2271280745674,100,70.7152320760987,FAIL
0.63,48.2271280745674,100,70.7974440796494,FAIL
0.64,48.2271280745674,100,70.8771055469193,FAIL
0.65,48.2271280745674,100,70.9543337760635,FAIL
0.66,48.2271280745674,100,71.0292389683289,FAIL
0.67,48.2271280745674,100,71.1019247572642,FAIL
0.68,48.2271280745674,100,71.1724886912497,FAIL
0.69,48.2271280745674,100,71.2410226740833,FAIL
0.7,48.2271280745674,100,71.3076133678146,FAIL
0.71,48.2271280745674,100,71.372342561551,FAIL
0.72,48.2271280745674,100,71.4352875095414,FAIL
0.73,48.2271280745674,100,71.4965212414838,FAIL
0.74,48.2271280745674,100,71.5561128476852,FAIL
0.75,48.2271280745674,100,71.6141277414176,FAIL
0.76,48.2271280745674,100,71.6706279005729,FAIL
0.77,48.2271280745674,100,71.7256720904962,FAIL
0.78,48.2271280745674,100,71.7793160696881,FAIL
0.79,48.2271280745674,100,71.8316127798911,FAIL
0.8,48.2271280745674,100,71.882612521929,FAIL
0.81,48.2271280745674,100,71.932363118528,FAIL
0.82,48.2271280745674,100,71.9809100652316,FAIL
0.83,48.2271280745674,100,72.0282966704126,FAIL
0.84,48.2271280745674,100,72.0745641852913,FAIL
0.85,48.2271280745674,100,72.1197519247817,FAIL
0.86,48.2271280745674,100,72.1638973799128,FAIL
0.87,48.2271280745674,100,72.2070363225016,FAIL
0.88,48.2271280745674,100,72.2492029026957,FAIL
0.89,48.2271280745674,100,72.2904297399439,FAIL
0.9,48.2271280745674,100,72.330748007908,FAIL
0.91,48.2271280745674,100,72.3701875137793,FAIL
0.92,48.2271280745674,100,72.4087767724276,FAIL
0.93,48.2271280745674,100,72.4465430757702,FAIL
0.94,48.2271280745674,100,72.4835125577167,FAIL
0.95,48.2271280745674,100,72.5197102550161,FAIL
0.96,48.2271280745674,100,72.5551601643042,FAIL
0.97,48.2271280745674,100,72.589885295626,FAIL
0.98,48.2271280745674,100,72.6239077226839,FAIL
0.99,48.2271280745674,100,72.6572486300438,FAIL
1,48.2271280745674,100,72.6899283575121,FAIL
